Wavelength,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
114.227000,488.851000,346.743000,308.847000,308.847000,303.163000,314.532000,259.583000,288.005000,261.478000,261.478000,234.951000,231.162000,227.372000,206.530000,198.951000,204.635000,202.740000,185.687000,168.634000,197.056000,191.372000,183.793000,181.898000,185.687000,166.740000,153.476000,193.266000,172.424000,178.108000,200.846000,204.635000,229.267000,212.214000,206.530000,178.108000,191.372000,200.846000,219.793000,204.635000,208.425000,206.530000,210.319000,223.583000,174.319000,216.004000,202.740000,183.793000,198.951000,197.056000,181.898000,183.793000,191.372000,185.687000,185.687000,200.846000,204.635000,189.477000,197.056000,191.372000,189.477000,200.846000,166.740000,191.372000,191.372000,208.425000,191.372000,202.740000,172.424000,210.319000,216.004000,202.740000,200.846000,212.214000,221.688000,212.214000,191.372000,191.372000,221.688000,212.214000,208.425000,195.161000,189.477000,181.898000,189.477000,206.530000,214.109000,191.372000,164.845000,195.161000,208.425000,208.425000,157.266000,189.477000,197.056000,214.109000,197.056000,161.055000,187.582000,189.477000,155.371000,214.109000
115.547000,596.968000,422.615000,394.188000,358.181000,375.237000,350.600000,314.592000,320.278000,303.222000,293.746000,280.480000,265.319000,248.263000,229.311000,229.311000,257.738000,242.577000,250.158000,217.941000,217.941000,236.892000,219.836000,221.731000,187.618000,193.304000,198.989000,202.779000,174.352000,217.941000,227.416000,221.731000,212.255000,276.690000,246.368000,225.521000,206.570000,221.731000,257.738000,223.626000,214.150000,197.094000,193.304000,227.416000,208.465000,206.570000,231.207000,229.311000,234.997000,206.570000,197.094000,219.836000,253.948000,206.570000,200.884000,210.360000,197.094000,234.997000,206.570000,202.779000,227.416000,202.779000,227.416000,225.521000,231.207000,208.465000,231.207000,238.787000,198.989000,227.416000,250.158000,274.795000,217.941000,225.521000,265.319000,240.682000,240.682000,252.053000,233.102000,240.682000,225.521000,219.836000,233.102000,217.941000,252.053000,221.731000,204.675000,210.360000,208.465000,200.884000,221.731000,187.618000,233.102000,240.682000,212.255000,221.731000,200.884000,198.989000,223.626000,189.514000,223.626000,210.360000
116.866000,682.380000,549.695000,509.890000,468.189000,401.846000,411.324000,396.160000,392.369000,360.145000,350.668000,358.250000,314.653000,324.131000,293.803000,255.893000,293.803000,272.952000,280.534000,252.102000,261.579000,265.370000,263.475000,244.520000,253.997000,219.878000,225.565000,238.833000,244.520000,231.251000,250.206000,280.534000,272.952000,327.922000,284.325000,267.266000,212.296000,282.430000,252.102000,252.102000,242.624000,242.624000,253.997000,265.370000,236.938000,227.460000,255.893000,219.878000,246.415000,265.370000,229.356000,227.460000,253.997000,242.624000,223.669000,227.460000,236.938000,233.147000,240.729000,263.475000,223.669000,244.520000,274.848000,227.460000,242.624000,269.161000,227.460000,263.475000,255.893000,265.370000,252.102000,250.206000,246.415000,278.639000,252.102000,269.161000,235.042000,261.579000,246.415000,278.639000,280.534000,252.102000,271.057000,267.266000,242.624000,259.684000,217.983000,225.565000,233.147000,221.774000,253.997000,242.624000,244.520000,263.475000,235.042000,223.669000,221.774000,204.714000,214.192000,229.356000,236.938000,263.475000
118.185000,822.806000,667.345000,572.552000,527.051000,498.613000,466.383000,460.696000,447.425000,443.633000,401.924000,381.069000,373.486000,381.069000,333.673000,339.360000,310.922000,333.673000,288.172000,301.443000,271.109000,271.109000,265.421000,259.734000,274.901000,252.150000,267.317000,250.254000,236.983000,265.421000,301.443000,309.026000,327.985000,364.006000,333.673000,337.464000,305.235000,299.547000,295.755000,303.339000,284.380000,269.213000,280.588000,269.213000,310.922000,255.942000,263.526000,271.109000,293.859000,273.005000,267.317000,295.755000,257.838000,271.109000,248.359000,267.317000,261.630000,280.588000,254.046000,271.109000,274.901000,274.901000,267.317000,244.567000,293.859000,267.317000,282.484000,274.901000,282.484000,269.213000,265.421000,303.339000,312.818000,312.818000,280.588000,310.922000,337.464000,282.484000,320.402000,309.026000,280.588000,309.026000,293.859000,276.797000,276.797000,288.172000,290.068000,276.797000,303.339000,282.484000,265.421000,291.964000,248.359000,286.276000,257.838000,236.983000,261.630000,238.879000,219.921000,267.317000,248.359000,263.526000
119.503000,1022.070000,866.579000,701.606000,633.342000,599.210000,597.313000,555.596000,618.172000,548.011000,508.190000,451.303000,462.681000,417.171000,419.068000,358.388000,386.832000,343.218000,337.529000,345.114000,347.011000,316.671000,290.124000,292.020000,255.991000,295.812000,282.539000,301.501000,310.982000,318.567000,341.322000,329.945000,369.765000,430.445000,348.907000,348.907000,337.529000,367.869000,362.181000,347.011000,310.982000,305.294000,324.256000,299.605000,345.114000,328.048000,326.152000,333.737000,369.765000,316.671000,271.161000,305.294000,286.331000,320.463000,280.642000,290.124000,303.397000,293.916000,286.331000,303.397000,301.501000,339.426000,316.671000,293.916000,350.803000,360.284000,322.360000,297.709000,320.463000,326.152000,362.181000,341.322000,356.492000,324.256000,328.048000,354.596000,360.284000,320.463000,373.558000,354.596000,339.426000,358.388000,369.765000,329.945000,347.011000,339.426000,310.982000,282.539000,310.982000,292.020000,343.218000,278.746000,299.605000,347.011000,316.671000,288.227000,299.605000,333.737000,276.850000,328.048000,299.605000,324.256000
120.822000,1302.960000,1045.030000,826.917000,783.295000,758.640000,677.086000,675.189000,635.361000,673.293000,570.876000,542.427000,544.324000,538.634000,491.219000,447.597000,453.287000,445.701000,447.597000,402.079000,409.665000,375.527000,333.801000,339.491000,337.595000,311.042000,345.181000,347.078000,364.147000,350.871000,398.286000,422.942000,457.080000,529.151000,428.631000,415.355000,356.561000,407.769000,413.459000,436.218000,413.459000,377.423000,388.803000,369.837000,371.733000,407.769000,367.940000,426.735000,366.044000,369.837000,311.042000,366.044000,345.181000,356.561000,362.250000,364.147000,360.354000,343.284000,312.939000,348.974000,379.320000,371.733000,390.699000,369.837000,385.010000,381.216000,362.250000,362.250000,362.250000,394.493000,347.078000,426.735000,379.320000,434.321000,458.977000,432.425000,451.391000,453.287000,402.079000,424.838000,462.770000,394.493000,381.216000,375.527000,341.388000,345.181000,367.940000,373.630000,360.354000,386.906000,367.940000,356.561000,364.147000,400.182000,369.837000,348.974000,341.388000,356.561000,366.044000,339.491000,339.491000,386.906000
122.140000,1667.430000,1195.090000,1056.610000,969.349000,908.646000,847.943000,830.871000,840.356000,732.229000,732.229000,696.186000,629.792000,631.689000,589.956000,525.459000,515.975000,525.459000,498.902000,479.932000,443.890000,438.199000,426.817000,430.611000,356.629000,411.641000,358.526000,404.054000,419.229000,445.787000,498.902000,502.696000,565.296000,635.483000,504.593000,517.871000,495.108000,478.035000,419.229000,478.035000,479.932000,493.211000,417.332000,421.126000,449.581000,445.787000,483.726000,472.344000,443.890000,419.229000,424.920000,453.375000,407.848000,381.290000,383.187000,413.538000,398.363000,402.157000,419.229000,432.508000,402.157000,428.714000,415.435000,457.169000,472.344000,443.890000,432.508000,441.993000,428.714000,453.375000,464.756000,476.138000,491.314000,510.284000,536.841000,512.181000,536.841000,483.726000,527.356000,487.520000,472.344000,443.890000,449.581000,464.756000,445.787000,419.229000,417.332000,423.023000,445.787000,441.993000,423.023000,407.848000,438.199000,424.920000,411.641000,440.096000,385.084000,396.466000,434.405000,388.878000,360.423000,460.963000
123.458000,1980.810000,1468.530000,1278.800000,1161.170000,1109.940000,1070.090000,1015.070000,1022.660000,980.920000,855.696000,842.415000,770.316000,709.602000,673.553000,571.097000,656.477000,591.967000,557.815000,586.275000,521.766000,504.690000,483.819000,489.511000,480.025000,481.922000,445.873000,500.895000,497.101000,523.663000,554.021000,635.606000,660.271000,774.111000,567.302000,576.789000,601.454000,557.815000,565.405000,569.199000,555.918000,550.226000,506.587000,565.405000,552.123000,540.739000,525.561000,533.150000,550.226000,529.355000,474.333000,478.127000,493.306000,478.127000,430.694000,461.051000,497.101000,487.614000,502.793000,480.025000,497.101000,546.431000,529.355000,535.047000,567.302000,525.561000,527.458000,527.458000,546.431000,554.021000,548.329000,609.043000,609.043000,591.967000,637.503000,586.275000,631.811000,591.967000,552.123000,614.735000,591.967000,548.329000,552.123000,580.583000,489.511000,495.203000,493.306000,485.717000,497.101000,497.101000,552.123000,514.177000,514.177000,512.279000,500.895000,519.869000,476.230000,464.846000,455.359000,502.793000,500.895000,504.690000
124.776000,2360.740000,1749.680000,1558.010000,1419.480000,1332.180000,1309.410000,1206.940000,1227.810000,1081.690000,1049.430000,979.212000,926.076000,852.066000,778.056000,728.716000,736.307000,724.920000,686.966000,662.296000,658.501000,620.547000,563.616000,563.616000,512.378000,523.764000,512.378000,552.230000,578.798000,611.059000,660.399000,669.887000,770.465000,952.644000,700.250000,700.250000,626.240000,675.580000,656.603000,666.092000,635.729000,686.966000,603.468000,635.729000,639.524000,630.036000,647.115000,630.036000,666.092000,639.524000,575.002000,580.695000,580.695000,557.923000,578.798000,573.105000,563.616000,567.412000,582.593000,557.923000,576.900000,616.752000,660.399000,618.649000,662.296000,654.706000,622.445000,616.752000,611.059000,607.263000,641.422000,641.422000,704.046000,696.455000,732.511000,717.330000,719.227000,681.273000,690.762000,696.455000,696.455000,709.739000,656.603000,666.092000,614.854000,605.365000,611.059000,607.263000,611.059000,565.514000,567.412000,561.718000,592.082000,641.422000,573.105000,559.821000,523.764000,504.788000,548.435000,546.537000,561.718000,595.877000
126.093000,2883.160000,2135.320000,1786.080000,1592.480000,1543.130000,1446.320000,1404.570000,1417.850000,1336.240000,1188.190000,1140.740000,1062.920000,977.503000,956.624000,873.109000,865.517000,846.536000,772.512000,747.837000,715.570000,732.653000,649.138000,656.730000,599.788000,575.113000,671.915000,635.851000,673.813000,683.303000,745.939000,764.920000,899.682000,1070.510000,802.881000,812.371000,774.410000,763.022000,757.327000,827.556000,751.633000,772.512000,719.366000,726.958000,759.225000,683.303000,713.672000,692.793000,766.818000,732.653000,643.444000,647.240000,715.570000,673.813000,704.182000,668.118000,641.545000,664.322000,683.303000,633.953000,670.016000,709.876000,787.696000,728.856000,768.716000,719.366000,715.570000,666.220000,658.628000,780.104000,723.162000,780.104000,810.473000,793.391000,865.517000,875.007000,852.231000,838.944000,808.575000,795.289000,867.415000,709.876000,793.391000,818.065000,707.978000,677.609000,652.934000,755.429000,725.060000,668.118000,706.080000,656.730000,732.653000,690.895000,656.730000,630.157000,601.686000,618.769000,690.895000,620.667000,732.653000,700.385000
